id,customer_id,calculation_type,origin,destination,weight_in_tonnes,specific_method,created_at,updated_at,co2_in_g,file_name
554,CVO-33869,truck,"Millersville, United States","Santa Monica, United States",0.01112,"",2021-09-07 16:11:25 UTC,2021-09-07 16:11:25 UTC,3299,Convelio202109071809220200
555,CVO-29900,truck,"Clearwater Beach, United States","25.8890/-80.1241, United States",0.01112,"",2021-09-07 16:11:27 UTC,2021-09-07 16:11:27 UTC,8153,Convelio202109071809220200
556,CVO-14678,truck,"Hauppauge, United States","Maplewood, United States",0.01112,"",2021-09-07 16:11:28 UTC,2021-09-07 16:11:28 UTC,80,Convelio202109071809220200
557,CVO-20723,truck,"Newark, United States","Irvington, United States",0.01112,"",2021-09-07 16:11:29 UTC,2021-09-07 16:11:29 UTC,4,Convelio202109071809220200
558,CVO-18166,truck,"Grand Rapids, United States","Ponte Vedra Beach, United States",0.01112,"",2021-09-07 16:11:30 UTC,2021-09-07 16:11:30 UTC,1284,Convelio202109071809220200
559,CVO-19611,truck,"Hauppauge, United States","Seattle, United States",0.01112,"",2021-09-07 16:11:31 UTC,2021-09-07 16:11:31 UTC,3435,Convelio202109071809220200
560,CVO-19156,truck,"Portsmouth, United States","Rancho Mirage, United States",0.01112,"",2021-09-07 16:11:32 UTC,2021-09-07 16:11:32 UTC,3556,Convelio202109071809220200
561,CVO-21021,truck,"Hallandale Beach, United States","Los Angeles, United States",0.01112,"",2021-09-07 16:11:33 UTC,2021-09-07 16:11:33 UTC,3290,Convelio202109071809220200
562,CVO-22383,truck,"Millersville, United States","Memphis, United States",0.01112,"",2021-09-07 16:11:34 UTC,2021-09-07 16:11:34 UTC,1157,Convelio202109071809220200
563,CVO-24263,truck,"New York, United States","Exeter, United States",0.01112,"",2021-09-07 16:11:35 UTC,2021-09-07 16:11:35 UTC,313,Convelio202109071809220200
564,CVO-30176,truck,"Newark, United States","Jupiter, United States",0.01112,"",2021-09-07 16:11:36 UTC,2021-09-07 16:11:36 UTC,1427,Convelio202109071809220200
565,CVO-28787,truck,"Santa Fe Springs, United States","Atlanta, United States",0.01112,"",2021-09-07 16:11:37 UTC,2021-09-07 16:11:37 UTC,2715,Convelio202109071809220200
566,CVO-32020,truck,"Laguna Hills, United States","New Canaan, United States",0.01112,"",2021-09-07 16:11:38 UTC,2021-09-07 16:11:38 UTC,3463,Convelio202109071809220200
567,CVO-23372,truck,"New York, United States","Boulder, United States",0.01112,"",2021-09-07 16:11:39 UTC,2021-09-07 16:11:39 UTC,2310,Convelio202109071809220200
568,CVO-26289,truck,"New York, United States","Maspeth, United States",0.01112,"",2021-09-07 16:11:40 UTC,2021-09-07 16:11:40 UTC,8,Convelio202109071809220200
569,CVO-30626,truck,"Chicago, United States","New York, United States",0.01112,"",2021-09-07 16:11:41 UTC,2021-09-07 16:11:41 UTC,1003,Convelio202109071809220200
570,CVO-29019,truck,"Santa Fe Springs, United States","Vero Beach, United States",0.01112,"",2021-09-07 16:11:42 UTC,2021-09-07 16:11:42 UTC,3196,Convelio202109071809220200
571,CVO-35283,truck,"Newark, United States","Atlanta, United States",0.01112,"",2021-09-07 16:11:43 UTC,2021-09-07 16:11:43 UTC,1044,Convelio202109071809220200
572,CVO-24364,truck,"Burr Ridge, United States","West Palm Beach, United States",0.01112,"",2021-09-07 16:11:44 UTC,2021-09-07 16:11:44 UTC,1594,Convelio202109071809220200
573,CVO-33465,truck,"Greenwich, United States","Newark, United States",0.01112,"",2021-09-07 16:11:45 UTC,2021-09-07 16:11:45 UTC,49,Convelio202109071809220200
574,CVO-32017,truck,"Millersville, United States","Gladwyne, United States",0.01112,"",2021-09-07 16:11:46 UTC,2021-09-07 16:11:46 UTC,81,Convelio202109071809220200
575,CVO-31307,truck,"Chicago, United States","Bal Harbour, United States",0.01112,"",2021-09-07 16:11:47 UTC,2021-09-07 16:11:47 UTC,1670,Convelio202109071809220200
576,CVO-33167,truck,"New York, United States","40.7967/-74.4822, United States",0.01112,"",2021-09-07 16:11:50 UTC,2021-09-07 16:11:50 UTC,7596,Convelio202109071809220200
577,CVO-32965,truck,"Willowbrook, United States","Washington DC, United States",0.01112,"",2021-09-07 16:11:51 UTC,2021-09-07 16:11:51 UTC,1720,Convelio202109071809220200
578,CVO-32656,truck,"New york, United States","Delray Beach, United States",0.01112,"",2021-09-07 16:11:51 UTC,2021-09-07 16:11:51 UTC,1473,Convelio202109071809220200
579,CVO-16886,truck,"New York, United States","New York, United States",0.01112,"",2021-09-07 16:11:52 UTC,2021-09-07 16:11:52 UTC,0,Convelio202109071809220200
580,CVO-14807,truck,"Falmouth, United States","Howey-in-the-Hills, United States",0.01112,"",2021-09-07 16:11:53 UTC,2021-09-07 16:11:53 UTC,1532,Convelio202109071809220200
581,CVO-19681,truck,"Mount Vernon, United States","Seattle, United States",0.01112,"",2021-09-07 16:11:54 UTC,2021-09-07 16:11:54 UTC,3281,Convelio202109071809220200
582,CVO-15489,truck,"Elk Grove Village, United States","Boca Raton, United States",0.01112,"",2021-09-07 16:11:56 UTC,2021-09-07 16:11:56 UTC,1648,Convelio202109071809220200
583,CVO-20720,truck,"Chicago, United States","East Stroudsburg, United States",0.01112,"",2021-09-07 16:11:57 UTC,2021-09-07 16:11:57 UTC,912,Convelio202109071809220200
584,CVO-18423,truck,"Riverside, United States","Katonah, United States",0.01112,"",2021-09-07 16:11:59 UTC,2021-09-07 16:11:59 UTC,3409,Convelio202109071809220200
585,CVO-19154,truck,"Santa Fe Springs, United States","New York, United States",0.01112,"",2021-09-07 16:12:00 UTC,2021-09-07 16:12:00 UTC,3442,Convelio202109071809220200
586,CVO-26275,truck,"New York, United States","Maspeth, United States",0.01112,"",2021-09-07 16:12:01 UTC,2021-09-07 16:12:01 UTC,8,Convelio202109071809220200
587,CVO-30076,truck,"Dallas, United States","New York, United States",0.01112,"",2021-09-07 16:12:02 UTC,2021-09-07 16:12:02 UTC,1933,Convelio202109071809220200
588,CVO-27981,truck,"40.8451/-73.8661, United States","Metairie, United States",0.01112,"",2021-09-07 16:12:04 UTC,2021-09-07 16:12:04 UTC,8783,Convelio202109071809220200
589,CVO-22853,truck,"Burlington, United States","San Anselmo, United States",0.01112,"",2021-09-07 16:12:05 UTC,2021-09-07 16:12:05 UTC,3616,Convelio202109071809220200
590,CVO-29023,truck,"National City, United States","New York, United States",0.01112,"",2021-09-07 16:12:05 UTC,2021-09-07 16:12:05 UTC,3421,Convelio202109071809220200
591,CVO-27292,truck,"New York, United States","New York, United States",0.01112,"",2021-09-07 16:12:06 UTC,2021-09-07 16:12:06 UTC,0,Convelio202109071809220200
