id,customer_id,calculation_type,origin,destination,weight_in_tonnes,specific_method,created_at,updated_at,co2_in_g,file_name,fuel_type,car_type
73,HTG,car,"44579, Castrop-Rauxel, DE","26409, Harlesiel, DE",,"",2021-12-03 05:46:27 UTC,2021-12-03 05:46:27 UTC,81006,HTGbadge1202112030546270000,petrol,large
74,HTG,car,"48720, Rosendahl, DE","25997, Hörnum auf Sylt, DE",,"",2021-12-03 05:46:28 UTC,2021-12-03 05:46:28 UTC,107104,HTGbadge1202112030546270000,petrol,large
75,HTG,car,"15711, Königs Wusterhausen, DE","25980, Westerland auf Sylt, DE",,"",2021-12-03 05:46:30 UTC,2021-12-03 05:46:30 UTC,154217,HTGbadge1202112030546270000,petrol,large
76,HTG,car,"59872, Meschede, DE","18586, Baabe, DE",,"",2021-12-03 05:46:31 UTC,2021-12-03 05:46:31 UTC,168791,HTGbadge1202112030546270000,petrol,large
77,HTG,car,"97638, Mellrichstadt, DE","23669, Timmendorfer Strand, DE",,"",2021-12-03 05:46:31 UTC,2021-12-03 05:46:31 UTC,134558,HTGbadge1202112030546270000,petrol,large
78,HTG,car,"31234, Edemissen, DE","25761, Büsum, DE",,"",2021-12-03 05:46:32 UTC,2021-12-03 05:46:32 UTC,73211,HTGbadge1202112030546270000,petrol,large
79,HTG,car,"85591, Vater stetten, DE","25761, Büsum, DE",,"",2021-12-03 05:46:33 UTC,2021-12-03 05:46:33 UTC,237595,HTGbadge1202112030546270000,petrol,large
80,HTG,car,"98716, Elgersburg, DE","18586, Sellin (Ostseebad), DE",,"",2021-12-03 05:46:34 UTC,2021-12-03 05:46:34 UTC,152522,HTGbadge1202112030546270000,petrol,large
81,HTG,car,"42653, Solingen, DE","59939, Olsberg-Elpe, DE",,"",2021-12-03 05:46:35 UTC,2021-12-03 05:46:35 UTC,32199,HTGbadge1202112030546270000,petrol,large
82,HTG,car,"71701, Schwieberdingen, DE","78136, Schonach im Schwarzwald, DE",,"",2021-12-03 05:46:36 UTC,2021-12-03 05:46:36 UTC,35588,HTGbadge1202112030546270000,petrol,large
83,HTG,car,"29614, Soltau, DE","18119, Rostock / Warnemünde, DE",,"",2021-12-03 05:46:37 UTC,2021-12-03 05:46:37 UTC,66771,HTGbadge1202112030546270000,petrol,large
84,HTG,car,"41515, Grevenbroich, DE","26427, Werdum, DE",,"",2021-12-03 05:46:38 UTC,2021-12-03 05:46:38 UTC,100664,HTGbadge1202112030546270000,petrol,large
85,HTG,car,"63452, Hanau, DE","82399, Raisting, DE",,"",2021-12-03 05:46:39 UTC,2021-12-03 05:46:39 UTC,100326,HTGbadge1202112030546270000,petrol,large
86,HTG,car,"53844, Troisdorf, DE","18556, Wiek, DE",,"",2021-12-03 05:46:40 UTC,2021-12-03 05:46:40 UTC,202346,HTGbadge1202112030546270000,petrol,large
87,HTG,car,"53945, Blankenheim, DE","23683, Scharbeutz, DE",,"",2021-12-03 05:46:41 UTC,2021-12-03 05:46:41 UTC,164724,HTGbadge1202112030546270000,petrol,large
88,HTG,car,"63839, Kleinwallstadt, DE","26316, Nordseebad Dangast, DE",,"",2021-12-03 05:46:42 UTC,2021-12-03 05:46:42 UTC,137609,HTGbadge1202112030546270000,petrol,large
89,HTG,car,"44534, Lünen, DE","23683, Scharbeutz, DE",,"",2021-12-03 05:46:42 UTC,2021-12-03 05:46:42 UTC,116595,HTGbadge1202112030546270000,petrol,large
90,HTG,car,"88213, Baden-Württemberg - Ravensburg, DE","26506, Norddeich, DE",,"",2021-12-03 05:46:43 UTC,2021-12-03 05:46:43 UTC,227766,HTGbadge1202112030546270000,petrol,large
91,HTG,car,"49377, Vechta, DE","26409, Carolinensiel-Harlesiel, DE",,"",2021-12-03 05:46:44 UTC,2021-12-03 05:46:44 UTC,37961,HTGbadge1202112030546270000,petrol,large
92,HTG,car,"14482, Potsdam, DE","17248, Rechlin-Nord, DE",,"",2021-12-03 05:46:45 UTC,2021-12-03 05:46:45 UTC,37622,HTGbadge1202112030546270000,petrol,large
93,HTG,car,"23881, Breitenfelde, DE","23775, Großenbrode, DE",,"",2021-12-03 05:46:46 UTC,2021-12-03 05:46:46 UTC,30504,HTGbadge1202112030546270000,petrol,large
94,HTG,car,"33161, Hövelhof, DE","35110, Frankenau, DE",,"",2021-12-03 05:46:47 UTC,2021-12-03 05:46:47 UTC,28471,HTGbadge1202112030546270000,petrol,large
95,HTG,car,"4571, Rötha, DE","18586, Göhren, DE",,"",2021-12-03 05:46:48 UTC,2021-12-03 05:46:48 UTC,122356,HTGbadge1202112030546270000,petrol,large
96,HTG,car,"8428, Langenbernsdorf, DE","2736, Oppach, DE",,"",2021-12-03 05:46:49 UTC,2021-12-03 05:46:49 UTC,53891,HTGbadge1202112030546270000,petrol,large
97,HTG,car,"1609, Gröditz, DE","17213, Göhren-Lebbin, DE",,"",2021-12-03 05:46:50 UTC,2021-12-03 05:46:50 UTC,81006,HTGbadge1202112030546270000,petrol,large
98,HTG,car,"45665, Recklinghausen, DE","48565, Steinfurt, DE",,"",2021-12-03 05:46:52 UTC,2021-12-03 05:46:52 UTC,20675,HTGbadge1202112030546270000,petrol,large
99,HTG,car,"38530, Didderse, DE","18225, Ostseebad Kühlungsborn, DE",,"",2021-12-03 05:46:52 UTC,2021-12-03 05:46:52 UTC,73211,HTGbadge1202112030546270000,petrol,large
100,HTG,car,"27404, Zeven, DE","25938, Wyk auf Föhr, DE",,"",2021-12-03 05:46:53 UTC,2021-12-03 05:46:53 UTC,54908,HTGbadge1202112030546270000,petrol,large
101,HTG,car,"33378, Rheda-Wiedenbrück, DE","18374, Zingst, DE",,"",2021-12-03 05:46:54 UTC,2021-12-03 05:46:54 UTC,140998,HTGbadge1202112030546270000,petrol,large
